Descrizione Campione: TOT
Inizio misura: 05-03-25 15:51:20
RealTime: 560561
LiveTime: 557046
N eventi: 111382
Calibrazione: E = 0 * C^2 + 1 * C + 0
Canale	Energia	Eventi
516	516	78
517	517	83
518	518	89
519	519	96
520	520	89
521	521	79
522	522	85
523	523	110
524	524	96
525	525	96
526	526	86
527	527	108
528	528	86
529	529	103
530	530	74
531	531	100
532	532	99
533	533	111
534	534	100
535	535	97
536	536	115
537	537	86
538	538	92
539	539	90
540	540	119
541	541	102
542	542	103
543	543	102
544	544	94
545	545	96
546	546	107
547	547	112
548	548	93
549	549	80
550	550	89
551	551	113
552	552	99
553	553	90
554	554	100
555	555	87
556	556	109
557	557	85
558	558	102
559	559	94
560	560	90
561	561	87
562	562	89
563	563	90
564	564	95
565	565	80
566	566	111
567	567	92
568	568	97
569	569	91
570	570	92
571	571	93
572	572	97
573	573	84
574	574	100
575	575	67
576	576	76
577	577	75
578	578	90
579	579	95
580	580	91
581	581	87
582	582	79
583	583	82
584	584	106
585	585	92
586	586	68
587	587	74
588	588	82
589	589	86
590	590	96
591	591	81
592	592	72
593	593	75
594	594	76
595	595	74
596	596	86
597	597	82
598	598	88
599	599	79
600	600	64
601	601	83
602	602	88
603	603	85
604	604	67
605	605	81
606	606	78
607	607	91
608	608	79
609	609	85
610	610	89
611	611	80
612	612	68
613	613	78
614	614	75
615	615	78
616	616	82
617	617	73
618	618	73
619	619	78
620	620	102
621	621	80
622	622	64
623	623	84
624	624	74
625	625	69
626	626	78
627	627	76
628	628	74
629	629	74
630	630	79
631	631	72
632	632	63
633	633	68
634	634	74
635	635	87
636	636	76
637	637	75
638	638	77
639	639	72
640	640	90
641	641	95
642	642	84
643	643	92
644	644	97
645	645	64
646	646	76
647	647	79
648	648	75
649	649	69
650	650	81
651	651	69
652	652	77
653	653	81
654	654	78
655	655	76
656	656	79
657	657	73
658	658	106
659	659	76
660	660	79
661	661	72
662	662	63
663	663	93
664	664	62
665	665	86
666	666	71
667	667	76
668	668	74
669	669	85
670	670	69
671	671	63
672	672	85
673	673	79
674	674	70
675	675	66
676	676	69
677	677	75
678	678	62
679	679	86
680	680	87
681	681	71
682	682	82
683	683	68
684	684	75
685	685	73
686	686	75
687	687	88
688	688	70
689	689	66
690	690	74
691	691	65
692	692	77
693	693	86
694	694	78
695	695	78
696	696	68
697	697	75
698	698	72
699	699	57
700	700	87
701	701	79
702	702	78
703	703	77
704	704	84
705	705	56
706	706	61
707	707	74
708	708	76
709	709	73
710	710	74
711	711	72
712	712	68
713	713	65
714	714	70
715	715	69
716	716	70
717	717	66
718	718	78
719	719	70
720	720	82
721	721	62
722	722	69
723	723	85
724	724	58
725	725	79
726	726	81
727	727	72
728	728	66
729	729	66
730	730	80
731	731	67
732	732	88
733	733	78
734	734	67
735	735	74
736	736	73
737	737	73
738	738	68
739	739	42
740	740	67
741	741	80
742	742	74
743	743	61
744	744	59
745	745	64
746	746	62
747	747	64
748	748	72
749	749	83
750	750	64
751	751	56
752	752	77
753	753	66
754	754	86
755	755	76
756	756	71
757	757	74
758	758	74
759	759	58
760	760	73
761	761	70
762	762	74
763	763	71
764	764	84
765	765	59
766	766	79
767	767	67
768	768	55
769	769	78
770	770	57
771	771	89
772	772	74
773	773	85
774	774	62
775	775	56
776	776	63
777	777	69
778	778	64
779	779	60
780	780	70
781	781	56
782	782	61
783	783	77
784	784	66
785	785	68
786	786	72
787	787	84
788	788	57
789	789	60
790	790	69
791	791	63
792	792	83
793	793	60
794	794	57
795	795	57
796	796	52
797	797	62
798	798	62
799	799	67
800	800	65
801	801	62
802	802	64
803	803	57
804	804	59
805	805	69
806	806	69
807	807	68
808	808	63
809	809	60
810	810	62
811	811	56
812	812	69
813	813	60
814	814	55
815	815	58
816	816	73
817	817	55
818	818	67
819	819	62
820	820	70
821	821	82
822	822	68
823	823	62
824	824	67
825	825	64
826	826	57
827	827	66
828	828	84
829	829	77
830	830	50
831	831	73
832	832	51
833	833	69
834	834	42
835	835	51
836	836	40
837	837	60
838	838	69
839	839	56
840	840	51
841	841	48
842	842	80
843	843	56
844	844	51
845	845	75
846	846	55
847	847	61
848	848	59
849	849	64
850	850	64
851	851	64
852	852	55
853	853	66
854	854	47
855	855	52
856	856	49
857	857	58
858	858	54
859	859	66
860	860	59
861	861	41
862	862	57
863	863	51
864	864	60
865	865	60
866	866	58
867	867	55
868	868	61
869	869	51
870	870	67
871	871	64
872	872	62
873	873	60
874	874	52
875	875	48
876	876	62
877	877	67
878	878	50
879	879	60
880	880	65
881	881	54
882	882	69
883	883	47
884	884	66
885	885	64
886	886	68
887	887	59
888	888	67
889	889	53
890	890	47
891	891	65
892	892	43
893	893	68
894	894	52
895	895	60
896	896	53
897	897	57
898	898	59
899	899	68
900	900	62
901	901	70
902	902	59
903	903	62
904	904	56
905	905	55
906	906	53
907	907	56
908	908	70
909	909	45
910	910	45
911	911	56
912	912	58
913	913	62
914	914	53
915	915	47
916	916	62
917	917	58
918	918	60
919	919	41
920	920	54
921	921	46
922	922	56
923	923	58
924	924	53
925	925	63
926	926	48
927	927	51
928	928	55
929	929	55
930	930	59
931	931	36
932	932	39
933	933	41
934	934	61
935	935	43
936	936	44
937	937	47
938	938	61
939	939	30
940	940	42
941	941	40
942	942	63
943	943	42
944	944	43
945	945	62
946	946	59
947	947	41
948	948	43
949	949	41
950	950	50
951	951	56
952	952	50
953	953	45
954	954	64
955	955	45
956	956	41
957	957	44
958	958	42
959	959	43
960	960	43
961	961	38
962	962	48
963	963	46
964	964	45
965	965	45
966	966	40
967	967	49
968	968	38
969	969	41
970	970	53
971	971	40
972	972	36
973	973	44
974	974	47
975	975	47
976	976	32
977	977	45
978	978	37
979	979	36
980	980	42
981	981	32
982	982	37
983	983	46
984	984	32
985	985	30
986	986	31
987	987	34
988	988	39
989	989	34
990	990	35
991	991	32
992	992	50
993	993	40
994	994	36
995	995	48
996	996	28
997	997	29
998	998	43
999	999	51
1000	1000	30
1001	1001	33
1002	1002	30
1003	1003	45
1004	1004	40
1005	1005	34
1006	1006	38
1007	1007	39
1008	1008	32
1009	1009	34
1010	1010	46
1011	1011	29
1012	1012	34
1013	1013	33
1014	1014	36
1015	1015	34
1016	1016	34
1017	1017	42
1018	1018	31
1019	1019	36
1020	1020	34
1021	1021	32
1022	1022	39
1023	1023	32
1024	1024	34
1025	1025	27
1026	1026	34
1027	1027	24
1028	1028	37
1029	1029	36
1030	1030	34
1031	1031	23
1032	1032	35
1033	1033	36
1034	1034	29
1035	1035	26
1036	1036	34
1037	1037	29
1038	1038	38
1039	1039	24
1040	1040	34
1041	1041	38
1042	1042	29
1043	1043	34
1044	1044	25
1045	1045	27
1046	1046	35
1047	1047	42
1048	1048	29
1049	1049	35
1050	1050	25
1051	1051	29
1052	1052	29
1053	1053	35
1054	1054	22
1055	1055	22
1056	1056	38
1057	1057	30
1058	1058	37
1059	1059	30
1060	1060	39
1061	1061	28
1062	1062	22
1063	1063	32
1064	1064	33
1065	1065	27
1066	1066	25
1067	1067	30
1068	1068	40
1069	1069	31
1070	1070	24
1071	1071	23
1072	1072	32
1073	1073	29
1074	1074	26
1075	1075	27
1076	1076	21
1077	1077	35
1078	1078	40
1079	1079	23
1080	1080	29
1081	1081	33
1082	1082	31
1083	1083	36
1084	1084	25
1085	1085	28
1086	1086	25
1087	1087	26
1088	1088	34
1089	1089	28
1090	1090	21
1091	1091	35
1092	1092	35
1093	1093	38
1094	1094	30
1095	1095	23
1096	1096	25
1097	1097	24
1098	1098	28
1099	1099	28
1100	1100	32
1101	1101	38
1102	1102	20
1103	1103	31
1104	1104	29
1105	1105	31
1106	1106	21
1107	1107	27
1108	1108	21
1109	1109	26
1110	1110	31
1111	1111	21
1112	1112	17
1113	1113	35
1114	1114	26
1115	1115	24
1116	1116	21
1117	1117	34
1118	1118	38
1119	1119	31
1120	1120	31
1121	1121	33
1122	1122	30
1123	1123	28
1124	1124	25
1125	1125	33
1126	1126	27
1127	1127	23
1128	1128	28
1129	1129	38
1130	1130	24
1131	1131	39
1132	1132	35
1133	1133	28
1134	1134	30
1135	1135	25
1136	1136	22
1137	1137	27
1138	1138	25
1139	1139	29
1140	1140	27
1141	1141	43
1142	1142	28
1143	1143	16
1144	1144	33
1145	1145	30
1146	1146	25
1147	1147	27
1148	1148	31
1149	1149	28
1150	1150	32
1151	1151	28
1152	1152	18
1153	1153	25
1154	1154	16
1155	1155	37
1156	1156	24
1157	1157	36
1158	1158	38
1159	1159	18
1160	1160	25
1161	1161	17
1162	1162	29
1163	1163	34
1164	1164	28
1165	1165	36
1166	1166	31
1167	1167	26
1168	1168	29
1169	1169	21
1170	1170	30
1171	1171	22
1172	1172	26
1173	1173	33
1174	1174	30
1175	1175	24
1176	1176	35
1177	1177	25
1178	1178	28
1179	1179	40
1180	1180	30
1181	1181	25
1182	1182	26
1183	1183	18
1184	1184	25
1185	1185	12
1186	1186	30
1187	1187	28
1188	1188	26
1189	1189	35
1190	1190	34
1191	1191	35
1192	1192	28
1193	1193	25
1194	1194	37
1195	1195	28
1196	1196	23
1197	1197	24
1198	1198	36
1199	1199	32
1200	1200	30
1201	1201	22
1202	1202	21
1203	1203	26
1204	1204	21
1205	1205	24
1206	1206	26
1207	1207	15
1208	1208	22
1209	1209	41
1210	1210	19
1211	1211	21
1212	1212	21
1213	1213	28
1214	1214	35
1215	1215	31
1216	1216	23
1217	1217	40
1218	1218	22
1219	1219	22
1220	1220	43
1221	1221	26
1222	1222	26
1223	1223	20
1224	1224	40
1225	1225	37
1226	1226	25
1227	1227	24
1228	1228	28
1229	1229	28
1230	1230	25
1231	1231	15
1232	1232	15
1233	1233	28
1234	1234	24
1235	1235	26
1236	1236	25
1237	1237	34
1238	1238	28
1239	1239	24
1240	1240	31
1241	1241	25
1242	1242	26
1243	1243	35
1244	1244	32
1245	1245	24
1246	1246	24
1247	1247	31
1248	1248	31
1249	1249	26
1250	1250	17
1251	1251	26
1252	1252	22
1253	1253	28
1254	1254	20
1255	1255	24
1256	1256	32
1257	1257	27
1258	1258	25
1259	1259	28
1260	1260	25
1261	1261	31
1262	1262	28
1263	1263	31
1264	1264	30
1265	1265	34
1266	1266	17
1267	1267	32
1268	1268	30
1269	1269	16
1270	1270	20
1271	1271	27
1272	1272	16
1273	1273	22
1274	1274	28
1275	1275	24
1276	1276	26
1277	1277	30
1278	1278	28
1279	1279	23
1280	1280	26
1281	1281	31
1282	1282	22
1283	1283	24
1284	1284	28
1285	1285	31
1286	1286	25
1287	1287	36
1288	1288	16
1289	1289	28
1290	1290	19
1291	1291	33
1292	1292	20
1293	1293	29
1294	1294	42
1295	1295	29
1296	1296	40
1297	1297	28
1298	1298	26
1299	1299	28
1300	1300	30
1301	1301	32
1302	1302	31
1303	1303	30
1304	1304	30
1305	1305	25
1306	1306	31
1307	1307	30
1308	1308	43
1309	1309	23
1310	1310	21
1311	1311	36
1312	1312	31
1313	1313	26
1314	1314	23
1315	1315	33
1316	1316	28
1317	1317	41
1318	1318	33
1319	1319	26
1320	1320	36
1321	1321	26
1322	1322	32
1323	1323	29
1324	1324	16
1325	1325	20
1326	1326	30
1327	1327	37
1328	1328	24
1329	1329	26
1330	1330	32
1331	1331	28
1332	1332	24
1333	1333	29
1334	1334	31
1335	1335	31
1336	1336	33
1337	1337	34
1338	1338	40
1339	1339	40
1340	1340	43
1341	1341	35
1342	1342	35
1343	1343	28
1344	1344	41
1345	1345	51
1346	1346	28
1347	1347	32
1348	1348	50
1349	1349	35
1350	1350	27
1351	1351	50
1352	1352	43
1353	1353	45
1354	1354	31
1355	1355	55
1356	1356	52
1357	1357	43
1358	1358	38
1359	1359	48
1360	1360	40
1361	1361	40
1362	1362	51
1363	1363	51
1364	1364	55
1365	1365	52
1366	1366	64
1367	1367	58
1368	1368	61
1369	1369	55
1370	1370	52
1371	1371	73
1372	1372	71
1373	1373	63
1374	1374	86
1375	1375	82
1376	1376	67
1377	1377	70
1378	1378	68
1379	1379	84
1380	1380	71
1381	1381	81
1382	1382	82
1383	1383	82
1384	1384	71
1385	1385	80
1386	1386	96
1387	1387	80
1388	1388	81
1389	1389	105
1390	1390	94
1391	1391	107
1392	1392	103
1393	1393	84
1394	1394	91
1395	1395	106
1396	1396	83
1397	1397	106
1398	1398	102
1399	1399	120
1400	1400	127
1401	1401	126
1402	1402	124
1403	1403	101
1404	1404	121
1405	1405	154
1406	1406	127
1407	1407	131
1408	1408	133
1409	1409	138
1410	1410	129
1411	1411	134
1412	1412	153
1413	1413	145
1414	1414	119
1415	1415	136
1416	1416	139
1417	1417	181
1418	1418	153
1419	1419	126
1420	1420	151
1421	1421	163
1422	1422	160
1423	1423	180
1424	1424	169
1425	1425	156
1426	1426	172
1427	1427	171
1428	1428	171
1429	1429	170
1430	1430	180
1431	1431	193
1432	1432	181
1433	1433	186
1434	1434	177
1435	1435	198
1436	1436	197
1437	1437	207
1438	1438	182
1439	1439	189
1440	1440	193
1441	1441	200
1442	1442	184
1443	1443	183
1444	1444	210
1445	1445	187
1446	1446	222
1447	1447	174
1448	1448	191
1449	1449	211
1450	1450	228
1451	1451	217
1452	1452	212
1453	1453	190
1454	1454	232
1455	1455	218
1456	1456	218
1457	1457	220
1458	1458	228
