
RE	sigma_RE	<E>	sigma_<E>	time
0.0683059220286767	0.0002724587051741865	1434.7617840509665	0.21690826845142744	Na22_20min_000
0.06845602489438751	0.0002679902344165418	1435.8487762776615	0.21595266788022535	Na22_20min_001
0.06816420261524783	0.00028030393138362276	1437.4177668728703	0.21827430234936707	Na22_20min_002
0.06798058872071194	0.0002601326851470832	1439.0786513903784	0.2142593499653665	Na22_20min_003
0.06833012859267484	0.00027116603026448475	1439.799361787233	0.21869746219218028	Na22_20min_004
0.06848182870194976	0.0002748598875285515	1441.3573489582486	0.21806615664525145	Na22_20min_005
0.06870416790716237	0.00027212101784656104	1441.8596490088707	0.21951349885515706	Na22_20min_006
0.06858977362781123	0.0002720166226870493	1442.9897880440178	0.21822502429124183	Na22_20min_007
0.06800082874305005	0.0002684928108403313	1443.2891037967574	0.21607720774609088	Na22_20min_008
0.06815021600348943	0.00027083072020814394	1443.53804173347	0.21706464502692102	Na22_20min_009
0.06858080467186048	0.0002673835631079927	1444.5779417809044	0.21864369589077046	Na22_20min_010
0.0681482839037241	0.0002722526121609773	1444.750528187146	0.21716373666606273	Na22_20min_011
0.06801481298379213	0.00026914917922324496	1445.4038476802923	0.21829562970768676	Na22_20min_012
0.06844951819667443	0.0002757990891805068	1445.9605362509753	0.21965489501430613	Na22_20min_013
0.0682173520872222	0.0002716211735510843	1446.3949172706612	0.2202343881641414	Na22_20min_014
0.06838802052142083	0.00026875526150778306	1446.539752646723	0.21819408870584278	Na22_20min_015
0.06804919598367819	0.0002685379923595577	1447.2369950693294	0.2178701241139277	Na22_20min_016
0.06801069292699582	0.00027424317981805354	1446.8889887685523	0.21887483146202313	Na22_20min_017
0.06830060756628037	0.00027954669733205363	1447.56571012695	0.22193163455715692	Na22_20min_018
0.0683819318976835	0.0002811506690213271	1447.63373061111	0.22139783433056381	Na22_20min_019
0.0684637376702679	0.00026930717706897677	1447.68760378808	0.22012105853752037	Na22_20min_020
0.06837969725293848	0.00027527515403560687	1447.868080611715	0.22036634777096906	Na22_20min_021
0.06810929690208586	0.0002787238297804606	1447.7864870702992	0.22128172700413357	Na22_20min_022
