
RE	sigma_RE	<E>	sigma_<E>	time
0.06898980000437144	0.000248993328557007	1413.6894831875393	0.1951666334045433	Na22_20min_000
0.06983250112038397	0.0002488476961319213	1413.9069383845488	0.1966047214039055	Na22_20min_001
0.06891934785821731	0.026	1415.6626748939916	0.19557434725849848	Na22_20min_003
0.06865245491719303	0.0002440445339858764	1416.5270038377148	0.1933096890701061	Na22_20min_004
0.06921001047483748	0.00024781085278725303	1416.8645068113444	0.19501997810875313	Na22_20min_005
0.06937847988786087	0.00024437281868518944	1417.7200193296255	0.19739669665991272	Na22_20min_006
0.06914659144063122	0.0002460998769650025204568982988836	1414.9771066981345	0.19600443439308696	Na22_20min_002
0.06907027986312546	0.000249181260385428546	1418.87191251387	0.19626651821342994	Na22_20min_007
0.06924545409827683	0.00024794025861434623	1418.9125659459746	0.197714131772553	Na22_20min_008
0.06917251359986766	0.0002448148091182179	1419.583493443553	0.19546107436901616	Na22_20min_009
0.06915765945988453	0.0002546653465529268	1420.2232759164456	0.19661204853761347	Na22_20min_010
0.06898133500978292	0.00024946669672184786	1420.841095144523	0.196226287251226	Na22_20min_011
0.06912093241153527	0.00024723646622007455	1420.5080907110832	0.19707395668252856	Na22_20min_012
0.06896598748516262	0.00024958745279091333	1421.1526857834012	0.1966161882511466	Na22_20min_013
0.06955955359157621	0.00024544551559696763	1421.5620242721984	0.19750230364660187	Na22_20min_014
0.06892977429579517	0.0002495227384798895	1421.6066425072347	0.19538030360970018	Na22_20min_015
0.06883180399469932	0.0002445776492558876	1421.8147560355508	0.19622451420126152	Na22_20min_016
0.06896294639756097	0.0002468042323286977	1422.2809886493299	0.1964796522739304	Na22_20min_017
0.06919009869273049	0.00024378435426310698	1422.3835395551487	0.19671934492391685	Na22_20min_018
0.06935129180355995	0.0002507088626289188	1422.1710517540055	0.19840920766762749	Na22_20min_019
0.06871455400236207	0.0002456854317712675	1422.1126060682445	0.1951672073264513	Na22_20min_020
0.06935472016376591	0.00025646406955138286	1422.2071149044593	0.199424565698135	Na22_20min_021
0.06898541204010318	0.0002430385656885518	1422.5106646447202	0.19615495561363225	Na22_20min_022
0.06907584525449592	0.00024788328041660873	1422.447561639857	0.19711913938341905	Na22_20min_023
0.06918093569992806	0.00024828717279683346	1422.5486968988573	0.19703729177813228	Na22_20min_024
0.06875041239658186	0.00025015663502807263	1422.116185117743	0.1963550577476499	Na22_20min_025
0.06908150483854926	0.0002458991633216167	1421.8368034722357	0.19609616058017895	Na22_20min_026
0.06873029739186567	0.0002523229542374819	1421.6785097318173	0.19794213976056851	Na22_20min_027
0.06915591815127979	0.0002523208314018495	1421.5857137903943	0.19707445167162996	Na22_20min_028
0.06901543036373543	0.0002467851745055164	1421.6218589198072	0.19684744749297914	Na22_20min_029
0.06903627163723902	0.00024724710831446403	1421.1945078261722	0.19619230143323313	Na22_20min_030
0.06917896874857787	0.00024680943432499455	1420.8921872051935	0.19692513783044666	Na22_20min_031
0.06864407263144219	0.0002504984968941646	1421.4103124472392	0.19615420744058693	Na22_20min_032
0.069102257370208	0.0002520722093145034	1421.0866603107256	0.19657667944727916	Na22_20min_033
0.0690284803696192	0.00024415619738698527	1421.3266452693683	0.1957717592764799	Na22_20min_034
0.06915011267065073	0.00024238477298665033	1422.029609713011	0.19594509781706065	Na22_20min_035
0.06911911387836174	0.00024659448904011737	1422.2586862579894	0.19615424185549296	Na22_20min_036
0.06887262480458184	0.00024250333815980846	1422.0334456585563	0.19565114698937672	Na22_20min_037
0.0689839898661852	0.00024672784188288174	1422.3219121009276	0.19671707322229873	Na22_20min_038
0.06898736825494722	0.00025074923809178834	1421.5696262863062	0.19688566923258324	Na22_20min_039
0.06933928731611161	0.00025164125057905554	1421.5736817366271	0.19793475116941964	Na22_20min_040
0.06942440381412457	0.0002522447911438878	1421.7889869650055	0.19774898996128368	Na22_20min_041
0.06933208495563875	0.0002487254847585476	1421.7159353977781	0.19814577003590164	Na22_20min_042
0.06931612346018116	0.00025357883861990303	1421.713419501873	0.1982576238631835	Na22_20min_043
0.06937641552540663	0.0002509127621956699	1421.1999492406073	0.19739424616154896	Na22_20min_044
0.06910132750303484	0.0002477646242527501	1420.9358728487334	0.19685367523366376	Na22_20min_045
0.06887651460325067	0.00024318067120470023	1420.7999735899962	0.19604228060234738	Na22_20min_046
0.06917269249029809	0.00024766802945431067	1421.0387377580498	0.19678571700198938	Na22_20min_047
0.06977728922371605	0.00025791925747371705	1420.4627388896727	0.19944858071873456	Na22_20min_048
0.06895412173870269	0.00025039490102551025	1420.3195819147938	0.197332176076049	Na22_20min_049
0.06927230836674672	0.00024810248363149785	1420.5541356930735	0.19687698261849396	Na22_20min_050
0.06932158545717426	0.0002553131662686036	1420.0328230998925	0.19771084508649867	Na22_20min_051
0.06953105749868267	0.0002483460760797102	1420.2096982251892	0.19672165586345228	Na22_20min_052
0.06827535953345118	0.0002424986803009713	1420.2440638747094	0.1946936219602101	Na22_20min_053
0.06925930114022825	0.00025358745987702274	1419.908180942683	0.19683463342586927	Na22_20min_054
0.06919160922971308	0.00024324367889552172	1420.0944674594568	0.19613419740736962	Na22_20min_055
0.06885583997142292	0.00024135283533226767	1420.1786343506446	0.1967238349037983	Na22_20min_056
0.06888194700289013	0.0002458063598339733	1420.3556128616062	0.19666939039970202	Na22_20min_057
0.06896941405223232	0.0002467427808522806	1420.186282892056	0.1969540376552584	Na22_20min_058
0.06893532571595633	0.00024582299618580293	1420.9838130305943	0.19595874328455432	Na22_20min_059
0.06925271951325855	0.0002441306859798287	1421.3850187644498	0.1967481920779007	Na22_20min_060
0.0695460009323038	0.0002469369801086079	1420.7344069279095	0.19756297911033713	Na22_20min_061
0.06909515867618427	0.0002474861616417081	1420.7850203887133	0.19583737295434692	Na22_20min_062
0.0685452851107415	0.00024300569786133165	1421.1251673086472	0.19640360270190696	Na22_20min_063
0.06898478985862067	0.000238991138589726	1421.052041873292	0.194784871927589	Na22_20min_064
0.0693314858428594	0.00024831650972071664	1421.014766181279	0.1971489847178321	Na22_20min_065
0.06905325353341209	0.0002472526373477298	1421.4901980314635	0.19709696018198378	Na22_20min_066
0.06936383501100579	0.00025138333641703837	1420.8914455953502	0.1974342697187289	Na22_20min_067
0.06900425083276515	0.00024353149917646387	1421.3284778739003	0.1959518076605226	Na22_20min_068
0.06900461542145536	0.00024675957396214044	1421.270577197815	0.19613417882161432	Na22_20min_069
0.06865442458541585	0.00024694678370339884	1421.3195279888519	0.19636044004052292	Na22_20min_070
0.06904432034366954	0.0002521579237243118	1421.7569619299352	0.19743944212829728	Na22_20min_071
0.06876920188114534	0.00024524698218017163	1422.195161777447	0.19524847778566407	Na22_20min_072
0.06899031327918854	0.0002451599465415648	1421.4473093150305	0.1958731668367062	Na22_20min_073
0.06901510781502453	0.00025169510991001357	1421.9679252477636	0.1972741241160378	Na22_20min_074
0.06901401179348812	0.0002477793838433424	1422.0024973544055	0.19788867873633997	Na22_20min_075
0.06918744197223135	0.00024570419801965153	1422.096619285607	0.19613502036436706	Na22_20min_076
0.06901775304733594	0.00024657698271518096	1422.2902246658632	0.1965396819196328	Na22_20min_077
0.06895514166569537	0.0002439903140508206	1422.3288281322164	0.19627486643070444	Na22_20min_078
0.06896337395316751	0.00024534197279538656	1422.4104146572176	0.19661767127627908	Na22_20min_079
0.06878258776334865	0.00025121427262967435	1423.022273154943	0.19630427921053448	Na22_20min_080
0.0690971817853443	0.0002515837717035535	1423.0262436594041	0.19760825209513885	Na22_20min_081
0.06908901750532559	0.0002529376450748342	1422.8827594656848	0.19853745681753004	Na22_20min_082
0.06924726233076103	0.00024795578821608616	1423.201615128481	0.1991456561110562	Na22_20min_083
0.06889828095377508	0.0002499858242586761	1422.7163777518447	0.19613930530583462	Na22_20min_084
0.06885492183127143	0.0002454424352199877	1422.9139322322867	0.1955202934509099	Na22_20min_085
0.06894455028441987	0.000248860699000973	1423.0587074840564	0.19705671640656472	Na22_20min_086
0.06913197609728601	0.00024596564300627145	1423.2280921771764	0.19638335838158952	Na22_20min_087
0.06914869232950106	0.00024807367185611845	1423.7145678124082	0.1981806969740875	Na22_20min_088
0.06858560711178313	0.0002439570481665428	1423.6910393668172	0.1951320223091869	Na22_20min_089
0.068977602743036	0.00024832835490338275	1423.7683183133186	0.19751654467723204	Na22_20min_090
0.06910803709766097	0.00024701339406159865	1423.9308740231486	0.19721432588455562	Na22_20min_091
0.06906241609487836	0.0002518246051931618	1424.454490623217	0.19735351412737878	Na22_20min_092
0.06854811818380148	0.0002448561247174325	1425.1709010856503	0.19619333718473073	Na22_20min_093
0.06919049967530673	0.0002441967239910767	1424.7009540734928	0.19835496611337056	Na22_20min_094
0.06931051712100203	0.0002590706911195934	1424.8088794833834	0.19891781802701614	Na22_20min_095
0.06894377367130848	0.000244620026171961	1424.5705658834765	0.196492119478463	Na22_20min_096
0.06895501388885214	0.00024757421759258715	1424.1381733116702	0.19733031910062543	Na22_20min_097
0.06855148122293421	0.0002459244606089494	1423.3023268104482	0.19570293771261604	Na22_20min_098
0.06924732130717508	0.0002462643248232623	1422.7728787741175	0.19723904596060912	Na22_20min_099
0.06904526402389591	0.00025717274153976645	1422.5749609525703	0.19865536235285278	Na22_20min_100
0.06886231905672173	0.0002495644465769652	1422.4498158574545	0.1954987239842241	Na22_20min_101
0.06870143748206144	0.0002480948730417488	1421.986721377276	0.1964729959483735	Na22_20min_102
0.06893550186571551	0.00024746141470558236	1422.3002116232099	0.19728935708369794	Na22_20min_103
0.06916224894481056	0.00024618703542663676	1422.29298120072	0.1969257178128386	Na22_20min_104
0.06953855728355776	0.00025002955256418313	1422.0941235275025	0.19736602176694237	Na22_20min_105
0.06931620632800496	0.0002471502484314798	1422.2221900802745	0.19754208716053445	Na22_20min_106
0.069111939788614	0.0002490323359023456	1421.9863788665632	0.19723546786657048	Na22_20min_107
0.06908324743292166	0.0002473644218351861	1421.3259261139533	0.19626944446691721	Na22_20min_108
0.06878755766718948	0.0002445859493993927	1421.2878562472222	0.1959604234926035	Na22_20min_109
0.06895285125333823	0.00024404806911245604	1421.061726849506	0.1957019671195468	Na22_20min_110
0.06925573744961243	0.0002496906610336666	1421.086962245809	0.19786611559671702	Na22_20min_111
0.0691285442239606	0.00025299159113329503	1420.242114775103	0.19741935011425493	Na22_20min_112
0.06928212464792578	0.0002467385241333287	1419.9683614937596	0.19598100749856284	Na22_20min_113
0.06967875101912971	0.00025230370541988933	1419.0419951849258	0.19728857463022703	Na22_20min_114
0.06907318085030266	0.0002433082817524992	1419.740084791659	0.1958081417996437	Na22_20min_115
0.06933653332667443	0.0002463187119102249	1419.1025574059138	0.19732530591037462	Na22_20min_116
0.068956301101072	0.0002496347644588733	1418.5440283550324	0.19528941317473913	Na22_20min_117
0.06943423055611068	0.00024893856720825387	1418.6660503390879	0.19666489300517903	Na22_20min_118
0.069556804375638	0.0002496925729474754	1418.4263367936746	0.1975730259152157	Na22_20min_119
0.06934292436523762	0.000248247595787649	1418.3970127760806	0.19675066857112064	Na22_20min_120
0.06902868148523512	0.0002475470966378561	1418.497690423639	0.19552593726151507	Na22_20min_121
0.06931237354807376	0.00024838570917279324	1418.0266048875785	0.1967856651263867	Na22_20min_122
0.06924827298544552	0.0002503168341845852	1418.3521838135257	0.19680178615720628	Na22_20min_123
0.06894247771717658	0.00024669545396374106	1418.1312349404436	0.19569977901931535	Na22_20min_124
0.06937444501634092	0.00025002328565717417	1418.1014662555388	0.19632124873027335	Na22_20min_125
0.06955499495647452	0.00025111738026680446	1418.070724314192	0.1974297193772804	Na22_20min_126
0.06891055833678787	0.00024339188043755923	1418.1705010604849	0.19347497370368594	Na22_20min_127
0.06888218614392708	0.00024961182970402305	1417.8234380905667	0.19598622979243915	Na22_20min_128
0.06951427902746152	0.0002456980064433741	1417.855670378698	0.197344559255052	Na22_20min_129
0.06907831719679078	0.00025200555515488346	1418.2362623564386	0.19659481405877863	Na22_20min_130
0.06931468459954626	0.00024681356602468906	1418.4225404609904	0.19652838171894213	Na22_20min_131
0.06904914163462329	0.00024746782075555485	1418.824468246826	0.19578429019384025	Na22_20min_132
0.06846473843004117	0.0002445776307120288	1418.8778413031073	0.19439455848637513	Na22_20min_133
0.06943085021277189	0.0002513396146028363	1419.2459588009913	0.19809516089439402	Na22_20min_134
0.0692847034311245	0.0002471722683702634	1419.0898129012253	0.19620485960695783	Na22_20min_135
0.06890819902130767	0.0002455227914487854	1419.6482556342671	0.19649895035880147	Na22_20min_136
0.06952508317958857	0.0002460587692504056	1419.491552640797	0.19800469066027743	Na22_20min_137
0.06925739431966331	0.0002446273198594008	1419.8664280269966	0.19667571550602742	Na22_20min_138
0.06903548965193339	0.00024371883361494004	1419.4549324520403	0.19564753894695977	Na22_20min_139
0.0690885079010929	0.00024710457377838884	1419.4372884769248	0.19587802849078126	Na22_20min_140
0.0689594665286832	0.00024919099846721537	1419.7465690595247	0.19716950294781596	Na22_20min_141
0.06913021861067108	0.00024971705631759045	1419.4001697266142	0.1969843007411554	Na22_20min_142
0.06915427023794765	0.0002499938794742729	1419.204825245519	0.19696324936213866	Na22_20min_143
0.06934638457440306	0.000251622236252281	1419.1065796788287	0.19790814443930518	Na22_20min_144
0.06883463990930754	0.0002512853604229955	1419.0204602635179	0.19702823278878717	Na22_20min_145
0.06881709130424261	0.0002440614125219637	1419.323061392389	0.19476811511558703	Na22_20min_146
0.0693936602811617	0.0002425793008466622	1419.4158350552716	0.19608953075754668	Na22_20min_147
0.06934412591599486	0.0002485805950949286	1419.5956065776531	0.19700076288872675	Na22_20min_148
0.06905673839249694	0.0002439964534318404	1419.7226754959706	0.19690756408241145	Na22_20min_149
0.06885930306787254	0.00024286764424568782	1419.4860735296238	0.19607392611953361	Na22_20min_150
0.06934670439272272	0.00025426417242698353	1419.1246439655952	0.1981039776011417	Na22_20min_151
0.06866824192043666	0.0002508829450448623	1419.3956277219652	0.1952274447042718	Na22_20min_152
0.0689315954267757	0.0002510859446072898	1419.4869045241428	0.19576265428260836	Na22_20min_153
