ANGLE RATE ERR_RATE COUNT ERR_COUNT CHANNEL ERR_CHANNEL SIGMA eRR_SIGMA
40	0.01741	0.00013	17217.2	131.2	1205.01	0.58	55.59	0.60
50	0.04348	0.00038	12966.1	113.9	1107.01	0.66	59.94	0.61
60	0.03627	0.00035	10859.8	104.2	1008.55	0.86	56.04	1.08
70	0.02479	0.00019	17053.5	130.6	912.27	0.52	47.22	0.52
80	0.02049	0.00014	20263.8	142.4	828.23	0.45	41.96	0.45
90	0.01497	0.00012	14779.3	121.6	767.43	0.52	37.88	0.55
100	0.01304	0.00013	9535.5	97.6	698.66	0.61	35.01	0.62
110	0.01475	0.00015	9320.2	96.5	656.88	0.51	27.50	0.50
