ANGLE RATE ERR_RATE COUNT ERR_COUNT CHANNEL ERR_CHANNEL SIGMA eRR_SIGMA
35	0.02478	0.00020	14914.8	122.1	1280.34	0.93	55.02	1.22
40	0.01529	0.00017	8547.5	92.5	1199.20	0.84	55.00	1.03
50	0.04348	0.00038	12966.1	113.9	1107.01	0.66	59.94	0.61
60	0.03627	0.00035	10859.8	104.2	1008.55	0.86	56.04	1.08
70	0.02479	0.00019	17053.5	130.6	912.27	0.52	47.22	0.52
80	0.01418	0.00018	6098.2	78.1	824.02	0.79	39.99	0.82
90	0.02635	0.00021	15711.2	125.3	770.98	0.54	39.33	0.57
100	0.01305	0.00017	6174.9	78.6	698.65	0.75	34.82	0.77
110	0.01475	0.00015	9320.2	96.5	656.88	0.51	27.50	0.50
