Descrizione Campione: Ti
Inizio misura: 07-02-25 17:58:04
RealTime: 7
LiveTime: 0
N eventi: 380911
Calibrazione: E = 3.22645e-06 * C^2 + 0.363344 * C + -11.0115
Canale	Energia	Eventi
339	112.533	75
340	112.898	104
341	113.264	102
342	113.629	99
343	113.995	112
344	114.36	119
345	114.726	90
346	115.092	112
347	115.457	88
348	115.823	101
349	116.188	80
350	116.554	113
351	116.92	83
352	117.285	96
353	117.651	95
354	118.016	98
355	118.382	124
356	118.748	89
357	119.113	108
358	119.479	138
359	119.845	110
360	120.21	96
361	120.576	96
362	120.942	105
363	121.307	127
364	121.673	109
365	122.039	124
366	122.404	136
367	122.77	114
368	123.136	118
369	123.502	102
370	123.867	106
371	124.233	112
372	124.599	153
373	124.965	117
374	125.33	115
375	125.696	102
376	126.062	104
377	126.428	94
378	126.793	90
379	127.159	96
380	127.525	75
381	127.891	105
382	128.257	110
383	128.622	126
384	128.988	114
385	129.354	96
386	129.72	100
387	130.086	111
388	130.452	129
389	130.817	105
390	131.183	128
391	131.549	113
392	131.915	104
393	132.281	105
394	132.647	113
395	133.013	115
396	133.379	91
397	133.744	106
398	134.11	116
399	134.476	82
400	134.842	94
401	135.208	112
402	135.574	97
403	135.94	118
404	136.306	104
405	136.672	112
406	137.038	108
407	137.404	99
408	137.77	91
409	138.136	94
410	138.502	113
411	138.868	86
412	139.234	104
413	139.6	98
414	139.966	138
415	140.332	117
416	140.698	113
417	141.064	111
418	141.43	119
419	141.796	107
420	142.162	91
421	142.528	115
422	142.894	105
423	143.26	126
424	143.626	126
425	143.992	121
426	144.358	107
427	144.724	120
428	145.091	131
429	145.457	97
430	145.823	100
431	146.189	135
432	146.555	115
433	146.921	125
434	147.287	132
435	147.653	105
436	148.02	100
437	148.386	116
438	148.752	97
439	149.118	115
440	149.484	125
441	149.85	124
442	150.217	124
443	150.583	114
444	150.949	101
445	151.315	126
446	151.682	131
447	152.048	136
448	152.414	123
449	152.78	147
450	153.146	145
451	153.513	156
452	153.879	124
453	154.245	136
454	154.611	143
455	154.978	148
456	155.344	154
457	155.71	157
458	156.077	157
459	156.443	130
460	156.809	152
461	157.176	166
462	157.542	162
463	157.908	181
464	158.275	154
465	158.641	154
466	159.007	171
467	159.374	135
468	159.74	169
469	160.106	157
470	160.473	176
471	160.839	148
472	161.205	158
473	161.572	152
474	161.938	162
475	162.305	117
476	162.671	139
477	163.037	120
478	163.404	139
479	163.77	135
480	164.137	143
481	164.503	144
482	164.87	110
483	165.236	110
484	165.603	123
485	165.969	113
486	166.336	126
487	166.702	140
488	167.069	112
489	167.435	111
490	167.802	98
491	168.168	95
492	168.535	79
493	168.901	112
494	169.268	92
495	169.634	115
496	170.001	90
497	170.367	98
498	170.734	121
499	171.1	119
500	171.467	125
501	171.833	110
502	172.2	98
503	172.567	105
504	172.933	114
505	173.3	119
506	173.666	125
507	174.033	105
508	174.4	116
509	174.766	128
510	175.133	120
511	175.5	124
512	175.866	97
513	176.233	128
514	176.6	116
515	176.966	123
516	177.333	135
517	177.7	125
518	178.066	129
519	178.433	111
520	178.8	127
521	179.166	111
522	179.533	119
523	179.9	124
524	180.266	119
525	180.633	130
526	181	134
527	181.367	120
528	181.733	113
529	182.1	127
530	182.467	119
531	182.834	134
532	183.2	142
533	183.567	127
534	183.934	127
535	184.301	141
536	184.668	133
537	185.034	118
538	185.401	129
539	185.768	150
540	186.135	92
541	186.502	132
542	186.869	113
543	187.235	113
544	187.602	121
545	187.969	139
546	188.336	122
547	188.703	126
548	189.07	142
549	189.437	121
550	189.803	98
551	190.17	122
552	190.537	123
553	190.904	108
554	191.271	113
555	191.638	129
556	192.005	127
557	192.372	131
558	192.739	112
559	193.106	118
560	193.473	91
561	193.84	129
562	194.207	114
563	194.574	117
564	194.941	137
565	195.308	110
566	195.675	112
567	196.042	128
568	196.409	119
569	196.776	122
570	197.143	111
571	197.51	122
572	197.877	135
573	198.244	123
574	198.611	150
575	198.978	119
576	199.345	110
577	199.712	99
578	200.079	148
579	200.446	114
580	200.813	117
581	201.18	125
582	201.547	116
583	201.914	108
584	202.282	132
585	202.649	134
586	203.016	133
587	203.383	141
588	203.75	101
589	204.117	98
590	204.484	94
591	204.851	119
592	205.219	124
593	205.586	111
594	205.953	118
595	206.32	115
596	206.687	127
597	207.055	103
598	207.422	127
599	207.789	120
600	208.156	111
601	208.523	114
602	208.891	109
603	209.258	108
604	209.625	101
605	209.992	118
606	210.36	112
607	210.727	125
608	211.094	113
609	211.461	100
610	211.829	120
611	212.196	104
612	212.563	109
613	212.931	100
614	213.298	108
615	213.665	102
616	214.032	113
617	214.4	94
618	214.767	105
619	215.134	111
620	215.502	99
621	215.869	110
622	216.236	99
623	216.604	135
