
RE(%)	sigma_RE(%)	HV	Gain
5.727006727565863	0.04510127035865141	350	100
6.430709328263556	0.1114436764785132	350	200
13.429884574700543	0.19633658858323222	350	500
7.455028995697287	0.0561507041176655	400	100
7.681139187445477	0.08216325254880702	400	200
7.481507663586341	0.04539921835380448	400	500
7.4076098968045105	0.07095568287371991	400	50
7.173183702507934	0.05832066664193629	450	100
7.135244610072153	0.034929180827252625	450	10
7.121872573884866	0.05227137580729166	450	200
6.835271513519539	0.04586178103015583	450	20
7.127329364393136	0.04771937759090497	450	500
6.996735427606862	0.05000316401119335	450	50
7.017261706616535	0.04306177297607286	500	100
6.753393702743709	0.041486116685240916	500	10
6.993094671009535	0.04418156639496921	500	200
6.903086616884789	0.06768985010671735	500	20
6.920726103429103   0.10881110018693128	500	50
6.430647466783282	0.035549906229893506	500	5
6.942106803196792	0.15532824018915284	550	100
6.980890024043811	0.04874762896692426	550	10
7.041281293948475   0.1168757850951353	550	20
6.881072019652325	0.0407953246945699	550	50
6.729215370444008	0.04778369699657094	550	5
7.268641886107602   0.19783450846899272	600	10
6.886102484786914	0.054218607613739915	600	20
6.698380219440116	0.044908610425664075	600	2
6.952372784942827	0.03986994307091226	600	50
6.886964772861419	0.050519931928308684	600	5
7.052540184873021	0.05234414323172297	650	10
6.914742337991455	0.062382454390077696	650	20
6.988522662320563	0.04094011286681401	650	2
7.078814584038249	0.04157497177675974	650	5
