Descrizione Campione: Am
Inizio misura: 07-02-25 18:04:35
RealTime: 1
LiveTime: 0
N eventi: 39751
Calibrazione: E = 3.22645e-06 * C^2 + 0.363344 * C + -11.0115
Canale	Energia	Eventi
339	112.533	-1
340	112.898	7
341	113.264	1
342	113.629	1
343	113.995	8
344	114.36	-4
345	114.726	-10
346	115.092	-3
347	115.457	7
348	115.823	6
349	116.188	-14
350	116.554	2
351	116.92	-3
352	117.285	12
353	117.651	7
354	118.016	0
355	118.382	1
356	118.748	2
357	119.113	3
358	119.479	15
359	119.845	1
360	120.21	-3
361	120.576	-15
362	120.942	4
363	121.307	-3
364	121.673	-3
365	122.039	4
366	122.404	1
367	122.77	3
368	123.136	12
369	123.502	-5
370	123.867	4
371	124.233	-2
372	124.599	20
373	124.965	5
374	125.33	7
375	125.696	-7
376	126.062	3
377	126.428	3
378	126.793	-12
379	127.159	3
380	127.525	-11
381	127.891	6
382	128.257	2
383	128.622	9
384	128.988	-3
385	129.354	-12
386	129.72	4
387	130.086	-4
388	130.452	0
389	130.817	10
390	131.183	-1
391	131.549	8
392	131.915	-11
393	132.281	-3
394	132.647	10
395	133.013	4
396	133.379	-8
397	133.744	1
398	134.11	3
399	134.476	-12
400	134.842	-3
401	135.208	5
402	135.574	11
403	135.94	-1
404	136.306	-10
405	136.672	7
406	137.038	9
407	137.404	-6
408	137.77	-4
409	138.136	-11
410	138.502	11
411	138.868	-2
412	139.234	3
413	139.6	5
414	139.966	4
415	140.332	-1
416	140.698	5
417	141.064	7
418	141.43	4
419	141.796	-8
420	142.162	1
421	142.528	10
422	142.894	-1
423	143.26	-2
424	143.626	4
425	143.992	3
426	144.358	-2
427	144.724	1
428	145.091	-2
429	145.457	1
430	145.823	-3
431	146.189	13
432	146.555	-15
433	146.921	-6
434	147.287	2
435	147.653	3
436	148.02	10
437	148.386	5
438	148.752	-5
439	149.118	0
440	149.484	5
441	149.85	1
442	150.217	-16
443	150.583	-2
444	150.949	-5
445	151.315	-9
446	151.682	-14
447	152.048	1
448	152.414	-7
449	152.78	2
450	153.146	-7
451	153.513	9
452	153.879	-4
453	154.245	-5
454	154.611	9
455	154.978	5
456	155.344	7
457	155.71	-1
458	156.077	-6
459	156.443	2
460	156.809	1
461	157.176	-2
462	157.542	11
463	157.908	0
464	158.275	-5
465	158.641	-5
466	159.007	-4
467	159.374	5
468	159.74	-1
469	160.106	-5
470	160.473	-3
471	160.839	1
472	161.205	-5
473	161.572	-4
474	161.938	0
475	162.305	-2
476	162.671	-7
477	163.037	-6
478	163.404	-1
479	163.77	-1
480	164.137	-1
481	164.503	-8
482	164.87	-18
483	165.236	-8
484	165.603	-6
485	165.969	7
486	166.336	-2
487	166.702	5
488	167.069	2
489	167.435	-5
490	167.802	2
491	168.168	2
492	168.535	-4
493	168.901	1
494	169.268	-13
495	169.634	0
496	170.001	-4
497	170.367	-9
498	170.734	1
499	171.1	0
500	171.467	-2
501	171.833	-8
502	172.2	-3
503	172.567	4
504	172.933	9
505	173.3	7
506	173.666	-4
507	174.033	7
508	174.4	2
509	174.766	11
510	175.133	10
511	175.5	-4
512	175.866	0
513	176.233	10
514	176.6	-2
515	176.966	3
516	177.333	7
517	177.7	-7
518	178.066	0
519	178.433	2
520	178.8	-11
521	179.166	-1
522	179.533	-11
523	179.9	4
524	180.266	-7
525	180.633	3
526	181	4
527	181.367	-8
528	181.733	-6
529	182.1	-10
530	182.467	5
531	182.834	-6
532	183.2	4
533	183.567	-10
534	183.934	-9
535	184.301	6
536	184.668	0
537	185.034	1
538	185.401	5
539	185.768	0
540	186.135	-11
541	186.502	-6
542	186.869	-10
543	187.235	-4
544	187.602	5
545	187.969	-9
546	188.336	-12
547	188.703	15
548	189.07	3
549	189.437	-3
550	189.803	-4
551	190.17	3
552	190.537	-1
553	190.904	-3
554	191.271	-8
555	191.638	-7
556	192.005	9
557	192.372	2
558	192.739	-6
559	193.106	-8
560	193.473	-14
561	193.84	-5
562	194.207	7
563	194.574	-3
564	194.941	5
565	195.308	2
566	195.675	-9
567	196.042	-4
568	196.409	4
569	196.776	-1
570	197.143	-10
571	197.51	-5
572	197.877	14
573	198.244	-6
574	198.611	5
575	198.978	-1
576	199.345	3
577	199.712	0
578	200.079	3
579	200.446	2
580	200.813	3
581	201.18	2
582	201.547	-2
583	201.914	6
584	202.282	2
585	202.649	6
586	203.016	7
587	203.383	4
588	203.75	-1
589	204.117	-4
590	204.484	-8
591	204.851	-2
592	205.219	-2
593	205.586	-1
594	205.953	6
595	206.32	6
596	206.687	0
597	207.055	-3
598	207.422	-9
599	207.789	2
600	208.156	-2
601	208.523	-7
602	208.891	-7
603	209.258	-6
604	209.625	0
605	209.992	-5
606	210.36	-4
607	210.727	-6
608	211.094	-17
609	211.461	-4
610	211.829	1
611	212.196	4
612	212.563	1
613	212.931	3
614	213.298	5
615	213.665	4
616	214.032	0
617	214.4	-8
618	214.767	-2
619	215.134	2
620	215.502	11
621	215.869	5
622	216.236	2
623	216.604	3
624	216.971	1
625	217.339	3
626	217.706	-3
627	218.073	-1
628	218.441	7
629	218.808	5
630	219.176	0
631	219.543	-16
632	219.91	3
633	220.278	-13
634	220.645	-3
635	221.013	-2
636	221.38	7
637	221.748	-3
638	222.115	-3
639	222.482	-3
640	222.85	-18
641	223.217	11
642	223.585	0
643	223.952	-5
644	224.32	8
645	224.687	-5
646	225.055	-1
647	225.422	-4
648	225.79	-7
649	226.157	1
650	226.525	-6
651	226.893	-3
652	227.26	-5
653	227.628	-2
654	227.995	6
655	228.363	-1
656	228.73	6
657	229.098	0
658	229.466	4
659	229.833	-1
660	230.201	-9
661	230.568	0
662	230.936	2
663	231.304	-2
664	231.671	-1
665	232.039	-9
666	232.406	-1
667	232.774	-2
668	233.142	-11
669	233.509	-2
670	233.877	-4
671	234.245	-3
672	234.612	2
673	234.98	0
674	235.348	-2
675	235.715	4
676	236.083	-5
677	236.451	-5
678	236.819	7
679	237.186	3
680	237.554	-7
681	237.922	0
682	238.29	3
683	238.657	7
684	239.025	0
685	239.393	-4
686	239.761	-11
687	240.128	-11
688	240.496	1
689	240.864	0
690	241.232	6
691	241.599	0
692	241.967	3
693	242.335	-1
694	242.703	2
695	243.071	-10
696	243.439	2
697	243.806	-9
698	244.174	5
699	244.542	-9
700	244.91	0
701	245.278	-1
702	245.646	-8
703	246.014	1
704	246.381	4
705	246.749	4
706	247.117	-1
707	247.485	-6
708	247.853	-11
709	248.221	3
710	248.589	3
711	248.957	3
712	249.325	5
713	249.693	-4
714	250.061	-1
715	250.429	-6
716	250.797	-5
717	251.165	-8
718	251.532	-2
719	251.9	-1
720	252.268	-9
721	252.636	-5
722	253.004	2
723	253.372	2
724	253.74	0
725	254.108	5
726	254.477	-1
727	254.845	2
728	255.213	4
729	255.581	1
730	255.949	-4
731	256.317	5
732	256.685	1
733	257.053	-2
734	257.421	-3
735	257.789	-1
736	258.157	-1
737	258.525	1
738	258.893	-3
739	259.261	-5
740	259.63	3
741	259.998	1
742	260.366	-8
743	260.734	-2
744	261.102	8
745	261.47	1
746	261.838	7
747	262.207	0
