14.2	2.00
19.80	2.00
25.40	2.00
30.80	2.00
36.00	3.00
41.20	3.00
96.80	3.00
166.00	5.00
220.00	5.00
252	3.20
276	5.00
324	3.80
330	10
334	10
392	4.80
460	4.80
536	4.80
604	5.00
672	5.00
742	4.80
824	5.76
900	5.00
960	4.80
1020	5.00
1100	5.00
1170	10.00
1250	10.00
1310	10.00
1380	10.00
1445	10.00
1540	20.00
1640	20.00
1720	20.00
1780	20.00
1840	20.00
1920	20.00
2000	20.00
2060	20.00
2130	20.00
2200	20.00
2260	20.00
2320	20.00
2400	20.00
2480	20.00
2540	20.00
2610	20.00
2680	20.00
2750	20.00
2800	20.00
2870	20.00
2940	20.00
3000	20.00
3220	20.00
3420	20.00
3620	20.00
3880	50.00
4100	50.00
4320	50.00
4500	50.00
4700	50.00
4940	50.00
5120	50.00
5320	50.00
5480	50.00
5720	50.00
5900	50.00
6120	50.00
6300	50.00
6500	50.00
6680	50.00
6900	50.00
