8.00	0.29
8.26	0.29
9.00	0.29
10.00	0.29
11.00	0.29
12.00	0.29
21.59	0.29
31.00	0.29
40.06	0.29
45.04	0.29
49.93	0.29
57.27	0.29
59.00	0.29
60.00	0.29
69.96	0.29
82.00	0.29
94.00	0.29
106.00	0.29
118.00	0.29
130.73	0.29
143.00	0.29
155.00	0.29
167.00	0.29
179.03	0.29
191.99	0.29
204.00	0.29
216.00	0.29
228.00	0.29
240.00	0.29
252.00	0.29
264.00	0.29
276.00	0.29
288.00	0.29
300.00	0.29
312.17	0.29
324.14	0.29
336.03	0.29
348.00	0.29
360.77	0.29
372.43	0.29
384.11	0.29
396.00	0.29
408.13	0.29
420.43	0.29
432.06	0.29
444.00	0.29
456.00	0.29
468.00	0.29
480.00	0.29
492.00	0.29
504.00	0.29
516.00	0.29
551.00	0.29
587.00	0.29
623.00	0.29
658.00	0.29
693.00	0.29
728.64	0.29
763.97	0.29
799.00	0.29
834.00	0.29
869.00	0.29
904.00	0.29
938.66	0.29
973.97	0.29
1008.00	0.29
1043.00	0.29
1077.00	0.29
1112.00	0.29
1146.59	0.29
1181.00	0.29
