69.00	1
70.00	1
70.00	1
70.00	1
70.00	1
70.00	1
70.00	1
70.00	1
70.00	1
69.00	1
69.00	1
70.00	1
70.00	1
70.00	1
70.00	1
69.00	1
69.00	1
70.00	1
68.00	1
70.00	1
69.00	1
69.00	1
69.00	1
69.00	1
69.00	1
69.00	1
69.00	1
69.00	1
69.00	1
70.00	1
70.00	1
69.00	1
70.00	1
70.00	1
69.00	1
69.00	1
70.00	1
68.00	1
70.00	1
70.00	1
70.00	1
70.00	1
70.00	1
70.00	1
69.00	1
69.00	1
70.00	1
70.00	1
70.00	1
70.00	1
70.00	1
69.00	1
70.00	1
69.00	1
70.00	1
69.00	1
70.00	1
69.00	1
70.00	1
69.00	1
70.00	1
69.00	1
70.00	1
70.00	1
70.00	1
70.00	1
70.00	1
70.00	1
70.00	1
69.00	1
69.00	1
