Descrizione Campione: Ra-F_600s.Spe
Inizio misura: 07-02-25 17:38:49
RealTime: 8
LiveTime: 0
N eventi: 303327
Calibrazione: E = 3.22645e-06 * C^2 + 0.363344 * C + -11.0115
Canale	Energia	Eventi
344	114.36	150
345	114.726	91
346	115.092	155
347	115.457	125
348	115.823	198
349	116.188	59
350	116.554	150
351	116.92	122
352	117.285	154
353	117.651	162
354	118.016	154
355	118.382	119
356	118.748	127
357	119.113	192
358	119.479	196
359	119.845	140
360	120.21	81
361	120.576	73
362	120.942	184
363	121.307	98
364	121.673	177
365	122.039	162
366	122.404	140
367	122.77	188
368	123.136	195
369	123.502	131
370	123.867	191
371	124.233	99
372	124.599	266
373	124.965	182
374	125.33	173
375	125.696	79
376	126.062	127
377	126.428	131
378	126.793	101
379	127.159	161
380	127.525	86
381	127.891	182
382	128.257	188
383	128.622	156
384	128.988	155
385	129.354	124
386	129.72	126
387	130.086	132
388	130.452	153
389	130.817	176
390	131.183	147
391	131.549	170
392	131.915	106
393	132.281	118
394	132.647	164
395	133.013	173
396	133.379	108
397	133.744	125
398	134.11	135
399	134.476	87
400	134.842	198
401	135.208	173
402	135.574	170
403	135.94	197
404	136.306	142
405	136.672	190
406	137.038	193
407	137.404	149
408	137.77	130
409	138.136	136
410	138.502	182
411	138.868	120
412	139.234	214
413	139.6	189
414	139.966	203
415	140.332	154
416	140.698	172
417	141.064	152
418	141.43	125
419	141.796	123
420	142.162	192
421	142.528	193
422	142.894	79
423	143.26	146
424	143.626	168
425	143.992	183
426	144.358	102
427	144.724	182
428	145.091	204
429	145.457	151
430	145.823	219
431	146.189	137
432	146.555	101
433	146.921	87
434	147.287	201
435	147.653	160
436	148.02	185
437	148.386	177
438	148.752	102
439	149.118	159
440	149.484	199
441	149.85	153
442	150.217	93
443	150.583	184
444	150.949	194
445	151.315	90
446	151.682	126
447	152.048	171
448	152.414	148
449	152.78	138
450	153.146	172
451	153.513	204
452	153.879	140
453	154.245	194
454	154.611	210
455	154.978	210
456	155.344	186
457	155.71	200
458	156.077	176
459	156.443	169
460	156.809	190
461	157.176	132
462	157.542	198
463	157.908	204
464	158.275	156
465	158.641	111
466	159.007	154
467	159.374	186
468	159.74	181
469	160.106	150
470	160.473	149
471	160.839	163
472	161.205	150
473	161.572	155
474	161.938	151
475	162.305	167
476	162.671	158
477	163.037	108
478	163.404	125
479	163.77	195
480	164.137	161
481	164.503	144
482	164.87	51
483	165.236	117
484	165.603	163
485	165.969	129
486	166.336	131
487	166.702	204
488	167.069	183
489	167.435	131
490	167.802	124
491	168.168	130
492	168.535	137
493	168.901	135
494	169.268	100
495	169.634	166
496	170.001	96
497	170.367	121
498	170.734	161
499	171.1	119
500	171.467	146
501	171.833	134
502	172.2	127
503	172.567	193
504	172.933	125
505	173.3	187
506	173.666	124
507	174.033	183
508	174.4	160
509	174.766	178
510	175.133	152
511	175.5	116
512	175.866	193
513	176.233	192
514	176.6	144
515	176.966	167
516	177.333	192
517	177.7	151
518	178.066	150
519	178.433	161
520	178.8	120
521	179.166	175
522	179.533	93
523	179.9	212
524	180.266	136
525	180.633	195
526	181	164
527	181.367	196
528	181.733	201
529	182.1	166
530	182.467	232
531	182.834	212
532	183.2	217
533	183.567	232
534	183.934	220
535	184.301	166
536	184.668	223
537	185.034	239
538	185.401	267
539	185.768	241
540	186.135	194
541	186.502	243
542	186.869	227
543	187.235	211
544	187.602	292
545	187.969	244
546	188.336	237
547	188.703	337
548	189.07	299
549	189.437	279
550	189.803	188
551	190.17	271
552	190.537	221
553	190.904	258
554	191.271	261
555	191.638	238
556	192.005	283
557	192.372	300
558	192.739	275
559	193.106	260
560	193.473	280
561	193.84	252
562	194.207	267
563	194.574	257
564	194.941	279
565	195.308	262
566	195.675	179
567	196.042	256
568	196.409	268
569	196.776	225
570	197.143	209
571	197.51	177
572	197.877	255
573	198.244	183
574	198.611	195
575	198.978	216
576	199.345	222
577	199.712	154
578	200.079	215
579	200.446	183
580	200.813	188
581	201.18	162
582	201.547	177
583	201.914	170
584	202.282	224
585	202.649	225
586	203.016	206
587	203.383	153
588	203.75	182
589	204.117	129
590	204.484	76
591	204.851	123
592	205.219	108
593	205.586	157
594	205.953	144
595	206.32	166
596	206.687	155
597	207.055	125
598	207.422	71
599	207.789	139
600	208.156	132
601	208.523	127
602	208.891	129
603	209.258	112
604	209.625	126
605	209.992	113
606	210.36	106
607	210.727	148
608	211.094	42
609	211.461	126
610	211.829	110
611	212.196	126
612	212.563	75
613	212.931	126
614	213.298	153
615	213.665	141
616	214.032	130
617	214.4	75
618	214.767	136
619	215.134	112
620	215.502	113
621	215.869	146
622	216.236	151
623	216.604	110
624	216.971	117
625	217.339	140
626	217.706	100
627	218.073	93
628	218.441	157
629	218.808	106
630	219.176	127
631	219.543	102
632	219.91	156
633	220.278	71
634	220.645	92
635	221.013	106
636	221.38	137
637	221.748	96
638	222.115	135
639	222.482	111
640	222.85	38
641	223.217	120
642	223.585	81
643	223.952	150
644	224.32	106
645	224.687	101
646	225.055	109
647	225.422	87
648	225.79	91
649	226.157	95
650	226.525	138
651	226.893	125
652	227.26	108
653	227.628	148
654	227.995	130
655	228.363	118
656	228.73	122
657	229.098	99
658	229.466	167
659	229.833	122
660	230.201	110
661	230.568	99
662	230.936	110
663	231.304	164
664	231.671	103
665	232.039	126
666	232.406	149
667	232.774	130
668	233.142	91
669	233.509	159
670	233.877	168
671	234.245	115
672	234.612	144
673	234.98	156
674	235.348	167
675	235.715	134
676	236.083	160
677	236.451	161
678	236.819	216
679	237.186	198
680	237.554	203
681	237.922	183
682	238.29	211
683	238.657	218
684	239.025	211
685	239.393	197
686	239.761	178
687	240.128	197
688	240.496	224
689	240.864	222
690	241.232	230
691	241.599	259
692	241.967	244
693	242.335	246
694	242.703	263
695	243.071	232
696	243.439	319
697	243.806	200
698	244.174	290
699	244.542	234
700	244.91	298
701	245.278	266
702	245.646	293
703	246.014	292
704	246.381	275
705	246.749	286
706	247.117	252
707	247.485	280
708	247.853	243
709	248.221	294
710	248.589	283
711	248.957	300
712	249.325	280
713	249.693	259
714	250.061	262
715	250.429	220
716	250.797	236
717	251.165	260
718	251.532	266
719	251.9	268
720	252.268	199
721	252.636	250
722	253.004	294
723	253.372	216
724	253.74	251
725	254.108	232
726	254.477	242
727	254.845	245
728	255.213	240
729	255.581	207
730	255.949	201
731	256.317	265
732	256.685	220
733	257.053	208
734	257.421	187
735	257.789	172
736	258.157	184
737	258.525	216
738	258.893	202
739	259.261	178
740	259.63	186
741	259.998	148
742	260.366	146
743	260.734	157
744	261.102	167
745	261.47	170
746	261.838	181
747	262.207	126
748	262.575	164
749	262.943	150
750	263.311	145
751	263.679	164
752	264.047	135
753	264.416	102
754	264.784	121
755	265.152	128
756	265.52	176
757	265.888	123
758	266.257	103
759	266.625	146
760	266.993	104
761	267.361	119
762	267.73	129
763	268.098	128
764	268.466	96
765	268.835	141
766	269.203	112
767	269.571	99
768	269.939	85
769	270.308	78
770	270.676	119
771	271.044	83
772	271.413	135
773	271.781	83
774	272.149	100
