Descrizione Campione: Cs
Inizio misura: 07-02-25 18:00:32
RealTime: 0
LiveTime: 0
N eventi: 21881
Calibrazione: E = 3.22645e-06 * C^2 + 0.363344 * C + -11.0115
Canale	Energia	Eventi
344	114.36	23
345	114.726	9
346	115.092	21
347	115.457	11
348	115.823	20
349	116.188	-8
350	116.554	-4
351	116.92	-4
352	117.285	13
353	117.651	6
354	118.016	17
355	118.382	12
356	118.748	6
357	119.113	11
358	119.479	21
359	119.845	-3
360	120.21	4
361	120.576	1
362	120.942	19
363	121.307	10
364	121.673	9
365	122.039	9
366	122.404	25
367	122.77	15
368	123.136	30
369	123.502	5
370	123.867	29
371	124.233	3
372	124.599	35
373	124.965	25
374	125.33	11
375	125.696	-15
376	126.062	12
377	126.428	10
378	126.793	-2
379	127.159	14
380	127.525	-2
381	127.891	11
382	128.257	19
383	128.622	10
384	128.988	21
385	129.354	-1
386	129.72	7
387	130.086	1
388	130.452	11
389	130.817	17
390	131.183	9
391	131.549	16
392	131.915	-3
393	132.281	7
394	132.647	12
395	133.013	19
396	133.379	1
397	133.744	6
398	134.11	11
399	134.476	5
400	134.842	18
401	135.208	30
402	135.574	8
403	135.94	12
404	136.306	5
405	136.672	24
406	137.038	21
407	137.404	2
408	137.77	3
409	138.136	6
410	138.502	9
411	138.868	10
412	139.234	14
413	139.6	16
414	139.966	19
415	140.332	5
416	140.698	13
417	141.064	-1
418	141.43	11
419	141.796	7
420	142.162	7
421	142.528	9
422	142.894	-1
423	143.26	11
424	143.626	8
425	143.992	2
426	144.358	12
427	144.724	13
428	145.091	18
429	145.457	1
430	145.823	9
431	146.189	17
432	146.555	7
433	146.921	-1
434	147.287	17
435	147.653	14
436	148.02	6
437	148.386	12
438	148.752	2
439	149.118	0
440	149.484	9
441	149.85	15
442	150.217	12
443	150.583	4
444	150.949	11
445	151.315	-10
446	151.682	8
447	152.048	-2
448	152.414	4
449	152.78	9
450	153.146	12
451	153.513	14
452	153.879	10
453	154.245	2
454	154.611	11
455	154.978	17
456	155.344	17
457	155.71	9
458	156.077	10
459	156.443	5
460	156.809	21
461	157.176	9
462	157.542	33
463	157.908	12
464	158.275	13
465	158.641	9
466	159.007	13
467	159.374	12
468	159.74	12
469	160.106	9
470	160.473	1
471	160.839	11
472	161.205	14
473	161.572	5
474	161.938	14
475	162.305	15
476	162.671	15
477	163.037	7
478	163.404	15
479	163.77	16
480	164.137	7
481	164.503	12
482	164.87	-9
483	165.236	0
484	165.603	29
485	165.969	21
486	166.336	8
487	166.702	22
488	167.069	15
489	167.435	5
490	167.802	8
491	168.168	11
492	168.535	17
493	168.901	3
494	169.268	6
495	169.634	9
496	170.001	14
497	170.367	5
498	170.734	13
499	171.1	-1
500	171.467	11
501	171.833	4
502	172.2	12
503	172.567	3
504	172.933	11
505	173.3	8
506	173.666	2
507	174.033	15
508	174.4	6
509	174.766	23
510	175.133	11
511	175.5	12
512	175.866	3
513	176.233	16
514	176.6	25
515	176.966	4
516	177.333	24
517	177.7	14
518	178.066	4
519	178.433	19
520	178.8	11
521	179.166	14
522	179.533	5
523	179.9	19
524	180.266	3
525	180.633	10
526	181	8
527	181.367	21
528	181.733	4
529	182.1	4
530	182.467	8
531	182.834	17
532	183.2	14
533	183.567	7
534	183.934	7
535	184.301	6
536	184.668	11
537	185.034	7
538	185.401	16
539	185.768	18
540	186.135	1
541	186.502	11
542	186.869	2
543	187.235	12
544	187.602	14
545	187.969	3
546	188.336	13
547	188.703	18
548	189.07	13
549	189.437	12
550	189.803	0
551	190.17	19
552	190.537	9
553	190.904	15
554	191.271	15
555	191.638	18
556	192.005	22
557	192.372	15
558	192.739	13
559	193.106	7
560	193.473	23
561	193.84	31
562	194.207	18
563	194.574	2
564	194.941	21
565	195.308	17
566	195.675	4
567	196.042	13
568	196.409	18
569	196.776	10
570	197.143	15
571	197.51	6
572	197.877	22
573	198.244	12
574	198.611	9
575	198.978	7
576	199.345	20
577	199.712	8
578	200.079	23
579	200.446	18
580	200.813	22
581	201.18	9
582	201.547	11
583	201.914	20
584	202.282	29
585	202.649	22
586	203.016	24
587	203.383	27
588	203.75	22
589	204.117	14
590	204.484	10
591	204.851	15
592	205.219	6
593	205.586	9
594	205.953	26
595	206.32	26
596	206.687	8
597	207.055	18
598	207.422	6
599	207.789	13
600	208.156	13
601	208.523	5
602	208.891	10
603	209.258	11
604	209.625	17
605	209.992	1
606	210.36	3
607	210.727	12
608	211.094	0
609	211.461	20
610	211.829	10
611	212.196	19
612	212.563	11
613	212.931	24
614	213.298	13
615	213.665	31
616	214.032	15
617	214.4	6
618	214.767	21
619	215.134	9
620	215.502	12
621	215.869	21
622	216.236	20
623	216.604	13
624	216.971	30
625	217.339	13
626	217.706	9
627	218.073	11
628	218.441	18
629	218.808	9
630	219.176	18
631	219.543	13
632	219.91	18
633	220.278	1
634	220.645	19
635	221.013	14
636	221.38	11
637	221.748	14
638	222.115	18
639	222.482	9
640	222.85	-4
641	223.217	23
642	223.585	12
643	223.952	18
644	224.32	8
645	224.687	11
646	225.055	7
647	225.422	11
648	225.79	16
649	226.157	7
650	226.525	23
651	226.893	19
652	227.26	1
653	227.628	22
654	227.995	19
655	228.363	19
656	228.73	23
657	229.098	10
658	229.466	20
659	229.833	8
660	230.201	9
661	230.568	6
662	230.936	12
663	231.304	7
