Descrizione Campione: Co
Inizio misura: 07-02-25 17:54:55
RealTime: 2
LiveTime: 0
N eventi: 105233
Calibrazione: E = 3.22645e-06 * C^2 + 0.363344 * C + -11.0115
Canale	Energia	Eventi
347	115.457	311
348	115.823	369
349	116.188	347
350	116.554	440
351	116.92	477
352	117.285	549
353	117.651	557
354	118.016	648
355	118.382	738
356	118.748	745
357	119.113	898
358	119.479	988
359	119.845	1021
360	120.21	1168
361	120.576	1308
362	120.942	1436
363	121.307	1455
364	121.673	1679
365	122.039	1747
366	122.404	1891
367	122.77	2060
368	123.136	2103
369	123.502	2148
370	123.867	2248
371	124.233	2431
372	124.599	2460
373	124.965	2462
374	125.33	2521
375	125.696	2461
376	126.062	2443
377	126.428	2444
378	126.793	2388
379	127.159	2344
380	127.525	2257
381	127.891	2217
382	128.257	2086
383	128.622	1952
384	128.988	1823
385	129.354	1738
386	129.72	1559
387	130.086	1544
388	130.452	1370
389	130.817	1265
390	131.183	1160
391	131.549	1067
392	131.915	948
393	132.281	894
394	132.647	727
395	133.013	737
396	133.379	648
397	133.744	589
398	134.11	511
399	134.476	503
400	134.842	471
401	135.208	411
402	135.574	406
403	135.94	387
404	136.306	339
405	136.672	350
406	137.038	346
407	137.404	292
408	137.77	282
409	138.136	282
410	138.502	299
411	138.868	295
412	139.234	279
413	139.6	323
414	139.966	301
415	140.332	299
416	140.698	262
417	141.064	294
418	141.43	269
419	141.796	270
420	142.162	253
421	142.528	248
422	142.894	245
423	143.26	234
424	143.626	193
425	143.992	218
426	144.358	218
427	144.724	185
428	145.091	156
429	145.457	156
430	145.823	147
431	146.189	145
432	146.555	111
433	146.921	73
434	147.287	100
435	147.653	83
436	148.02	85
437	148.386	75
438	148.752	40
439	149.118	59
440	149.484	50
441	149.85	57
442	150.217	16
443	150.583	40
444	150.949	35
445	151.315	18
446	151.682	26
447	152.048	25
448	152.414	21
449	152.78	10
450	153.146	6
451	153.513	19
452	153.879	15
453	154.245	4
454	154.611	10
455	154.978	2
456	155.344	15
457	155.71	7
458	156.077	7
459	156.443	7
460	156.809	9
461	157.176	-9
462	157.542	5
463	157.908	5
464	158.275	7
465	158.641	7
466	159.007	4
467	159.374	-4
468	159.74	5
469	160.106	-5
470	160.473	-11
471	160.839	3
472	161.205	2
473	161.572	2
474	161.938	5
475	162.305	2
476	162.671	-5
477	163.037	-7
478	163.404	-4
479	163.77	-4
480	164.137	10
481	164.503	-5
482	164.87	-8
483	165.236	1
484	165.603	4
485	165.969	10
486	166.336	9
487	166.702	17
488	167.069	9
489	167.435	3
