Descrizione Campione: misura_Co60_20min_solosorgente.Spe
Inizio misura: 15-01-25 16:09:28
RealTime: 15
LiveTime: 0
N eventi: 1013122
Calibrazione: E = 0 * C^2 + 1.98698 * C + -37.4062
Canale	Energia	Eventi
340	638.167	1012
341	640.154	1022
342	642.141	1032
343	644.128	1051
344	646.115	979
345	648.102	1033
346	650.089	983
347	652.075	981
348	654.062	968
349	656.049	1037
350	658.036	1049
351	660.023	1028
352	662.01	1052
353	663.997	977
354	665.984	994
355	667.971	1011
356	669.958	1038
357	671.945	993
358	673.932	993
359	675.919	1011
360	677.906	1032
361	679.893	1042
362	681.88	991
363	683.867	981
364	685.854	980
365	687.841	998
366	689.828	1025
367	691.815	1083
368	693.802	969
369	695.789	1054
370	697.776	1093
371	699.763	982
372	701.75	1024
373	703.737	1042
374	705.724	982
375	707.711	1149
376	709.698	1106
377	711.685	1062
378	713.672	1013
379	715.659	1067
380	717.646	1076
381	719.633	1024
382	721.62	1054
383	723.607	1024
384	725.594	1010
385	727.581	965
386	729.568	1048
387	731.555	1072
388	733.542	1042
389	735.529	1043
390	737.516	1009
391	739.503	1099
392	741.49	1054
393	743.477	1025
394	745.463	1102
395	747.45	1156
396	749.437	1031
397	751.424	1037
398	753.411	1015
399	755.398	1070
400	757.385	1080
401	759.372	1081
402	761.359	1070
403	763.346	1055
404	765.333	1127
405	767.32	1050
406	769.307	1092
407	771.294	1063
408	773.281	1020
409	775.268	1082
410	777.255	1102
411	779.242	1016
412	781.229	1083
413	783.216	1069
414	785.203	1132
415	787.19	1143
416	789.177	1135
417	791.164	1124
418	793.151	1194
419	795.138	1134
420	797.125	1143
421	799.112	1070
422	801.099	1132
423	803.086	1126
424	805.073	1138
425	807.06	1129
426	809.047	1101
427	811.034	1134
428	813.021	1151
429	815.008	1166
430	816.995	1130
431	818.982	1085
432	820.969	1185
433	822.956	1137
434	824.943	1118
435	826.93	1143
436	828.917	1187
437	830.904	1174
438	832.891	1126
439	834.878	1129
440	836.865	1171
441	838.852	1185
442	840.838	1187
443	842.825	1190
444	844.812	1136
445	846.799	1136
446	848.786	1142
447	850.773	1170
448	852.76	1139
449	854.747	1204
450	856.734	1155
451	858.721	1249
452	860.708	1194
453	862.695	1227
454	864.682	1216
455	866.669	1253
456	868.656	1237
457	870.643	1225
458	872.63	1231
459	874.617	1303
460	876.604	1264
461	878.591	1308
462	880.578	1274
463	882.565	1258
464	884.552	1259
465	886.539	1324
466	888.526	1269
467	890.513	1307
468	892.5	1309
469	894.487	1295
470	896.474	1305
471	898.461	1301
472	900.448	1266
473	902.435	1335
474	904.422	1284
475	906.409	1245
476	908.396	1347
477	910.383	1263
478	912.37	1368
479	914.357	1355
480	916.344	1357
481	918.331	1316
482	920.318	1331
483	922.305	1354
484	924.292	1333
485	926.279	1320
486	928.266	1361
487	930.253	1332
488	932.24	1360
489	934.227	1359
490	936.213	1379
491	938.2	1343
492	940.187	1411
493	942.174	1393
494	944.161	1363
495	946.148	1382
496	948.135	1404
497	950.122	1371
498	952.109	1400
499	954.096	1364
500	956.083	1323
501	958.07	1459
502	960.057	1506
503	962.044	1375
504	964.031	1387
505	966.018	1377
506	968.005	1420
507	969.992	1453
508	971.979	1377
509	973.966	1409
510	975.953	1345
511	977.94	1321
512	979.927	1392
513	981.914	1316
514	983.901	1294
515	985.888	1228
516	987.875	1273
517	989.862	1245
518	991.849	1234
519	993.836	1173
520	995.823	1202
521	997.81	1128
522	999.797	1191
523	1001.78	1123
524	1003.77	1130
525	1005.76	1023
526	1007.74	1089
527	1009.73	1074
528	1011.72	999
529	1013.71	1024
530	1015.69	1016
531	1017.68	1047
532	1019.67	1011
533	1021.65	991
534	1023.64	1034
535	1025.63	1009
536	1027.61	971
537	1029.6	983
538	1031.59	948
539	1033.58	953
540	1035.56	893
541	1037.55	873
542	1039.54	906
543	1041.52	889
544	1043.51	889
545	1045.5	873
546	1047.48	931
547	1049.47	867
