
h_peak	err_h   HV	Gain
90.81016743508013	0.02292980434841296	350	100
180.49768384703293	0.06762325689662108	350	200
183.69186250675142	0.10121191930532075	350	500
115.68230679967797	0.029785552152817137	400	100
231.62453742634221	0.0828239856064146	400	200
563.9427585238917	0.13454928071448297	400	500
59.37731968723239	0.020170225021204424	400	50
324.8544234695672	0.08153525061216164	450	100
26.516558069943184	0.004854852677321373	450	10
650.2352671927204	0.17553672322719302	450	200
68.35035063485752	0.015536697316188279	450	20
1585.1575076038173	0.34723370380624435	450	500
163.54395908562546	0.03785616138282409	450	50
808.2052910999482	0.18374131641417216	500	100
60.22159046992259	0.012760867344722818	500	10
1628.689389962781	0.3331633860583641	500	200
166.7581188066357	0.0527105460489441	500	20
404.9757473132639   0.14781989444753257	500	50
32.299070821353126	0.006138029491010396	500	5
1904.1652324248605	1.0412211805412679	550	100
197.22617407384192	0.04319152860066037	550	10
396.60735993702485  0.15427977448137759	550	20
966.2088841870955	0.2079194715164494	550	50
69.15153118062042	0.01590355871935199	550	5
419.52443055555545  0.27923941513305295	600	10
845.7328463279072	0.2409604839590749	600	20
61.943139666127244	0.01371598116694991	600	2
1398.5585559377448	0.27309155059643514	600	50
145.2196182252077	0.034553466660818606	600	5
842.2856024736902	0.23227796657077007	650	10
1690.0692852108325	0.4720004206538361	650	20
122.04917945517415	0.024620536553500882	650	2
291.52692831877647	0.056000081686167484	650	5
