
h_peak	err_h   HV	Gain
282.6704609922391	0.20404016309660983	550	200
685.9391243114251	0.27145980063006336	550	500
281.51531363520866	0.29380123618480675	600	100
31.409095014964862	0.013598077583835072	600	10
557.9147104969862	0.25538171232434603	600	200
60.04241119639423	0.028960292689605704	600	20
1357.5920712874506	0.42624379001346996	600	500
141.75755015325208	0.08544828581187093	600	50
530.0066677504626	0.20768007508271866	650	100
56.559215146651724	0.02849755045358309	650	10
1062.7325301695084	0.3645529965956894	650	200
111.21916212491442	0.04512160590362377	650	20
267.3778863204093	0.24524674834496102	650	50
955.1365324812675	0.38533983025104007	700	100
101.0520499855907	0.045979116814786086	700	10
1908.7901362745831	6.390617730312916	700	200
200.19319519835832	0.09690977609694544	700	20
484.59204119581057	0.18690906248732603	700	50
1674.743647729562	1.0720109055298646	750	100
173.6998296181187	0.09410988513210963	750	10
349.1667637784284   0.2720141500863427	750	20
847.8757513235909	0.3707134555858384	750	50
282.72541725057744	0.28071150295522684	800	10
569.232758528706	0.22033123995662293	800	20
1381.602428720339	0.5816402162127662	800	50
458.0008683058223   0.6331380454918709	850	10
920.7306342975203	0.39842624604830434	850	20
700.4365036605277	0.2724640269794662	900	10
1416.175745899391	0.595571377736747	900	20
1061.0257280583785	0.46587683044961403	950	10
