
h_peak	err_h   HV	Gain
85.87619189769602	0.04733020243216143	400	100
45.32271630157427	0.020718094273829212	400	50
229.4700768270949	0.052626790108031764	450	100
26.516558069943184	0.004854852677321373	450	10
50.60088571826996	0.01195174637012701	450	20
117.01974636394289	0.024240622639789405	450	50
563.3242747270494	0.11145119513212864	500	100
60.22159046992259	0.012760867344722818	500	10
119.8323528315176	0.03485127175624902	500	20
285.0778939328236	0.09214548845890912	500	50
32.299070821353126	0.006138029491010396	500	5
1281.7353298027022  0.2929475129035515	550	100
134.03837665229872	0.029235395636591586	550	10
272.8384339273479	0.06418516958199447	550	20
654.2382533271517	0.12413179971214554	550	50
69.15153118062042	0.01590355871935199	550	5
284.573057659715	0.07948254269926398	600	10
580.1786548923984	0.08310227625095773	600	20
61.943139666127244	0.01371598116694991	600	2
1398.5585559377448	0.27309155059643514	600	50
145.2196182252077	0.034553466660818606	600	5
573.395327541186	0.14823310615826968	650	10
1168.3436637384466	0.3093248351215252	650	20
122.04917945517415	0.024620536553500882	650	2
291.52692831877647	0.056000081686167484	650	5
