
h_peak	err_h   HV	Gain
47.30650484319735	0.023549628072002258	500	100
26.37175397867779	0.012010732568199886	500	50
95.769415517395	0.0517182611564224	550	100
49.52428133222233	0.016632487186556157	550	20
50.78409063191303	0.016622372878177298	550	50
187.7883914044032	0.11731981582193665	600	100
42.54122577689677	0.018436631266366865	600	20
97.35264056631031	0.03250131918379132	600	50
353.98160676896936	0.23555977371637546	650	100
40.09188155949966	0.01485895245102932	650	10
77.16535515864084	0.026209539607639117	650	20
181.4192680067841	0.14026765620733272	650	50
22.526642359476696	0.007132730698229601	650	5
634.4843461309573	0.27283846626609554	700	100
68.95372428097558	0.03438456422873619	700	10
136.07344492018422	0.06866839332604319	700	20
36.97047232367073	0.029659875781196186	700	2
323.7670531498225	0.26305077978910296	700	50
37.04581326029448	0.01046263957748401	700	5
1093.6022155426242	0.4247053445982623	750	100
115.99522405473842	0.08015313430387865	750	10
232.39022439781218	0.1795773137646491	750	20
27.895439667942924	0.009595665192987783	750	2
556.1768869869271	0.2152250392071131	750	50
60.74778400623565	0.024630065892550186	750	5
1822.1184510658513	1.00490433378816	800	100
190.36437506435783	0.1149837360166037	800	10
384.2433907369481	0.298539295238363	800	20
43.24852866361856	0.016827326022722612	800	2
922.6902117227711	0.3662545772388883	800	50
98.01145580862948	0.051835063637286495	800	5
303.1704299301987	0.261890078538873	850	10
615.0481272603874	0.25212354400179543	850	20
66.74496931032161	0.029224248476376485	850	2
1481.1770906387208	0.7216467127136609	850	50
155.15655059705836	0.08925820639062344	850	5
471.6315864340762	0.18282625521854395	900	10
959.3844382969176	0.3868591028808065	900	20
101.5925995666273	0.05146439622804167	900	2
239.82994527176567	0.2183593328774766	900	5
713.4457430251322	0.2962288256912694	950	10
1453.2120039685913	0.7252600952641035	950	20
152.0305344295008	0.094335798562426	950	2
361.9001027158484	0.3153211484534569	950	5
